country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Birthrate,Deathrate,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,CountryDisplay,Numeric,SexDisplay,YearCode
Somalia,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,0.47,5.37,116.7,500,37.8,11.28,1.67,0.04,98.29,45.13,16.63,0.0,0.0,0.0,0.0,Somalia,16.13775,Both sexes,2013
South Africa,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.22,0.23,-0.29,61.81,10700,86.4,107.02,12.08,0.79,87.13,18.2,22.0,225.0,76.0,81.0,6.7614,South Africa,16.52209,Both sexes,2013
Spain,WESTERN EUROPE                     ,40397842,504782,80.03,0.98,0.99,4.42,22000,97.9,453.54,26.07,9.87,64.06,10.06,9.72,284.0,157.0,112.0,9.7881,Spain,25.3443,Both sexes,2013
Sri Lanka,ASIA (EX. NEAR EAST)         ,20222240,65610,308.22,2.04,-1.31,14.35,3700,92.3,61.52,13.86,15.7,70.44,15.51,6.52,16.0,104.0,0.0,2.1239999999999997,Sri Lanka,20.19744,Both sexes,2013
Sudan,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.46,0.03,-0.02,62.5,1900,61.1,16.25,6.83,0.18,92.99,34.53,8.97,8.0,13.0,0.0,0.3717,Sudan,17.434820000000002,Both sexes,2013
Suriname,LATIN AMER. & CARIB    ,439117,163270,2.69,0.24,-8.81,23.57,4000,93.0,184.69,0.37,0.06,99.57,18.02,7.27,128.0,178.0,7.0,5.5401,Suriname,23.38242,Both sexes,2013
Swaziland,SUB-SAHARAN AFRICA                 ,1136334,17363,65.45,0.0,0.0,69.27,4900,81.6,30.8,10.35,0.7,88.95,27.41,29.74,90.0,2.0,2.0,1.6638000000000002,Swaziland,16.88085,Both sexes,2013
Sweden,WESTERN EUROPE                     ,9016596,449964,20.04,0.72,1.67,2.77,26800,99.0,715.01,6.54,0.01,93.45,10.27,10.31,152.0,60.0,186.0,7.0446,Sweden,24.06486,Both sexes,2013
Switzerland,WESTERN EUROPE                     ,7523934,41290,182.22,0.0,4.05,4.39,32700,99.0,680.89,10.42,0.61,88.97,9.71,8.49,185.0,100.0,280.0,10.000499999999999,Switzerland,25.488970000000002,Both sexes,2013
Syrian Arab Republic,NEAR EAST                          ,18881361,185180,101.96,0.1,0.0,29.53,3300,76.9,153.75,25.22,4.43,70.35,27.76,4.81,5.0,35.0,16.0,0.9911999999999999,Syrian Arab Republic,19.87789,Both sexes,2013
Tajikistan,C.W. OF IND. STATES ,7320815,143100,51.16,0.0,-2.86,110.76,1000,99.4,33.49,6.61,0.92,92.47,32.65,8.25,2.0,15.0,0.0,0.3009,Tajikistan,17.44905,Both sexes,2013
United Republic of Tanzania,SUB-SAHARAN AFRICA                 ,37445392,945087,39.62,0.15,-2.06,98.54,600,78.2,3.96,4.52,1.08,94.4,37.71,16.39,36.0,6.0,1.0,0.7611,United Republic of Tanzania,17.69364,Both sexes,2013
Thailand,ASIA (EX. NEAR EAST)         ,64631595,514000,125.74,0.63,0.0,20.48,7400,92.6,108.85,29.36,6.46,64.18,13.87,7.04,99.0,258.0,1.0,6.336600000000001,Thailand,20.904020000000003,Both sexes,2013
Togo,SUB-SAHARAN AFRICA                 ,5548702,56785,97.71,0.1,0.0,66.61,1500,60.9,10.56,46.15,2.21,51.64,37.01,9.83,36.0,2.0,19.0,1.0089,Togo,16.562920000000002,Both sexes,2013
Tonga,OCEANIA                            ,114689,748,153.33,56.02,0.0,12.62,2200,98.5,97.66,23.61,43.06,33.33,25.37,5.28,36.0,21.0,5.0,1.0974,Tonga,18.13031,Both sexes,2013
Trinidad and Tobago,LATIN AMER. & CARIB    ,1065842,5128,207.85,7.06,-10.83,24.31,9500,98.6,303.52,14.62,9.16,76.22,12.9,10.57,197.0,156.0,7.0,6.372,Trinidad and Tobago,17.81031,Both sexes,2013
